ID=1, predicted=3, probability = 441372.9902, true=3, accuracy=1.00
ID=2, predicted=1, probability = 164022.3733, true=7, accuracy=0.00
ID=3, predicted=1, probability = 308011.7040, true=7, accuracy=0.00
ID=4, predicted=2, probability = 18660.3443, true=2, accuracy=1.00
ID=5, predicted=2, probability = 57055.5641, true=2, accuracy=1.00
ID=6, predicted=2, probability = 72434.9880, true=2, accuracy=1.00
ID=7, predicted=1, probability = 348603.4400, true=7, accuracy=0.00
ID=8, predicted=1, probability = 2135399.2097, true=1, accuracy=1.00
ID=9, predicted=1, probability = 651282.7495, true=7, accuracy=0.00
ID=10, predicted=7, probability = 24175.6576, true=7, accuracy=1.00
ID=11, predicted=3, probability = 210252.9572, true=3, accuracy=1.00
ID=12, predicted=1, probability = 1416813.3485, true=6, accuracy=0.00
ID=13, predicted=1, probability = 2101697.7460, true=2, accuracy=0.00
ID=14, predicted=2, probability = 206598.9239, true=5, accuracy=0.00
ID=15, predicted=5, probability = 232006.8385, true=5, accuracy=1.00
ID=16, predicted=1, probability = 219971.1498, true=7, accuracy=0.00
ID=17, predicted=1, probability = 104793.5876, true=3, accuracy=0.00
ID=18, predicted=2, probability = 226606.7713, true=2, accuracy=1.00
ID=19, predicted=2, probability = 8872.5103, true=3, accuracy=0.00
ID=20, predicted=1, probability = 506298.3763, true=2, accuracy=0.00
ID=21, predicted=2, probability = 296799.8479, true=2, accuracy=1.00
ID=22, predicted=3, probability = 465.8328, true=3, accuracy=1.00
ID=23, predicted=2, probability = 252315.5860, true=2, accuracy=1.00
ID=24, predicted=5, probability = 125361.3489, true=5, accuracy=1.00
ID=25, predicted=2, probability = 12291.4510, true=3, accuracy=0.00
ID=26, predicted=2, probability = 147727.1692, true=2, accuracy=1.00
ID=27, predicted=2, probability = 403504.2494, true=2, accuracy=1.00
ID=28, predicted=1, probability = 681776.2098, true=7, accuracy=0.00
ID=29, predicted=1, probability = 41659.4830, true=3, accuracy=0.00
ID=30, predicted=4, probability = 6975.3552, true=9, accuracy=0.00
ID=31, predicted=1, probability = 679414.6976, true=7, accuracy=0.00
ID=32, predicted=1, probability = 1667047.3197, true=7, accuracy=0.00
ID=33, predicted=1, probability = 55134.0300, true=7, accuracy=0.00
ID=34, predicted=1, probability = 1971824.5737, true=1, accuracy=1.00
ID=35, predicted=9, probability = 82051.2057, true=7, accuracy=0.00
ID=36, predicted=3, probability = 551696.0242, true=3, accuracy=1.00
